Cocktail,Ingredients,Method,Process,Glass,Garnish,Notes,Characteristics,
East India Cocktail,2oz Cognac,Stirred,#NAME?,Nick and Nora,Lemon twist,,Cognac,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,0.25oz Dry Curacao ,,#NAME?,,,,Fruit forward,
,0.25oz Raspberry Brandy,,#NAME?,,,,,
,1 barspoon Maraschino,,,,,,,
,3 dashes of Angostura bitters,,,,,,,
,,,,,,,,
El Matador,1.75oz Blanco Tequila,Shaken,#NAME?,Rocks glass,Flamed Orange peel,A very underappreciated cocktail from Joel Black,Tequila,
,0.5oz Creme de Violette,,#NAME?,,,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Floral,
,0.5oz Ginger syrup,,#NAME?,,,,Spicy,
,0.33oz Simple syrup,,,,,,,
,2 dashes of Orange bitters ,,,,,,,
,,,,,,,,
El Presidente,1.5oz Unaged Rum,Stirred,#NAME?,Nick and Nora,Orange twist,,Rum,
,0.5oz Dry Curacao,,#NAME?,,,,Spirit forward,
,0.75oz Dry Vermouth,,#NAME?,,,,,
,1 barspoon Grenadine,,#NAME?,,,,,
,1 dash of Orange bitters,,,,,,,
,,,,,,,,
Embury Cocktail,2oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,,Gin,
,0.5oz Fino sherry,,#NAME?,,,,High ABV,
,0.5oz Yellow Chartreuse ,,#NAME?,,,,Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
Employee's Only,1.25oz Fernet Branca ,Stirred,#NAME?,Nick and Nora,Mint sprig,,Amaro,
,1oz Cocchi Americano,,#NAME?,,,,Spirit forward,
,0.75oz Strega ,,#NAME?,,,,Herbaceous,
,,,#NAME?,,,,Bitter,
,,,,,,,,
Espresso Martini,1.5oz Vodka,Shaken,#NAME?,Coupe,Grated nutmeg,The original was created by Dick Bradsell in London. Legend has it that a supermodel asked for a,Vodka,
,1oz Fresh Espresso (1 pull),,#NAME?,,,"cocktail that would ""wake her up and fuck her up"". I tweaked it a bit. ",Baking spices,
,0.75oz Coffee Liqueur,,#NAME?,,,,Sweet,
,1 barspoon Rich Demerara syrup,,#NAME?,,,,Creamy,
,2 drops Saline Solution,,,,,,,
,,,,,,,,
Fallback,1.25oz Rye,Stirred,#NAME?,Nick and Nora,Lemon twist,Created by Phil Ward of Milk and Honey. ,Rye / Apple Brandy,
,0.75oz Apple Brandy,,#NAME?,,,Substitute Apple Brandy instead Scotch + Bergamot bitters instead of Peychauds = Ready Room,Spirit forward,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Fruit forward,
,0.5oz Amaro Montenegro,,#NAME?,,,,Herbaceous,
,3 dashes of Peychaud's bitters,,,,,,,
,,,,,,,,
Fizzes,2oz Spirit (Gin is most common),2 Cube Shaken,#NAME?,Collins,Lemon twist - discard,"If someone orders a ""Gin Fizz"", make sure they don't actually want a Ramos Gin Fizz (see below)",Gin (usually),
,1oz Lemon juice,,- Add 2 kold draft cubes ,,Cherry,With Gin = Silver Fizz,Tart,
*Cocktail Family*,0.75oz Simple syrup,,#NAME?,,,"If someone wants a Tequila or Mezcal fizz, substitue the Lemon juice for 0.75oz Lime juice",Bubbly,
,0.75oz egg white,,- Add 2 kold draft cubes to the glass,,,"Made with Scotch, + 2 spray Absinthe rinse + Orange twist = Morning Glory Fizz",,
,Fill with Club soda,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Fog Cutter,1.5oz Aged Rhum Agricole,Swizzled,#NAME?,Hurricane or Collins,Mint Bouquet,,Rum / Cognac / Gin,
,0.5oz Cognac,,#NAME?,,Orange Wheel and cherry on a pick,,High ABV,
,0.5oz Gin,,#NAME?,,,,Tart,
,0.5oz Amontillado Sherry,,#NAME?,,,,Fruit forward,
,0.5oz Dry Curacao,,,,,,Sweet,
,1oz Lemon juice,,,,,,,
,0.75oz Orgeat,,,,,,,
,,,,,,,,
French 75,1.5oz Gin,Shaken,#NAME?,Flute,Lemon twist ,"This cocktail's origins are murky and hotly contested, but it's named after the 75mm artillery",Gin,
,0.75oz Lemon juice,,#NAME?,,,gun used by the French in WWI.,Tart,
,0.5oz Simple syrup,,#NAME?,,,Substitute Honey syrup instead of Simple syrup = Queen Bee cocktail by Chris Day,Bubbly ,
,Fill with Sparkling Wine (white),,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
"French ""Martini""",1.5oz Vodka,Shaken,#NAME?,Coupe,Lime wedge,"It's not a real Martini, but it's still a thing, and this version is WAY better than the original. Honestly, it ",Vodka,
,0.5oz Creme de Cassis,,#NAME?,,,"would probably be great with rum, tequila, or mezcal as the base spirit. ",Tart,
,1oz Pineapple juice,,#NAME?,,,,Fruit forward,
,0.5oz Lime juice,,#NAME?,,,,Sweet,
,0.25oz Simple syrup,,,,,,,
,,,,,,,,
Gangster's Paradise,2oz Aged Rum,Whipped / Swizzled,#NAME?,Hurricane or Collins,Top with Angostura bitters,"Adapted from the original, created by Yale Yengroff of the Spare Room",Rum,
,1oz Pineappe juice,,#NAME?,,3 Pineapple leaves (if you have them),,Tart,
,0.75oz Lime juice,,#NAME?,,Cherry,,Fruit forward,
,0.5oz Passionfruit syrup,,#NAME?,,,,Baking spices,
,0.5oz Cinnamon syrup,,#NAME?,,,,Sweet,
,0.5oz Heavy cream,,#NAME?,,,,Creamy,
,Top with 5 dashes of Angostura bitters ,,#NAME?,,,,,
,,,,,,,,
Gimlet ,2oz Gin or Vodka (ask),Shaken,#NAME?,Coupe,Lime wheel on a pick,"If you manage to get your hands on some proper lime cordial, use that instead of the juice and syrup.",Gin or Vodka,
,1oz Lime juice,,#NAME?,or,,,Tart,
,0.75oz Simple syrup ,,#NAME?,Rocks glass,,"Gin base spirit + 0.25oz Absinthe = French Pearl, by Audrey Saunders",,
,,,#NAME?,(ask),,1.5oz Absinthe as base spirit + 1 dash of Orange bitters + Orange twist garnish = Prudent Fairy,,
,,,,,,,,
Godfather,2oz Scotch,Built / Stirred,#NAME?,Rocks glass,None,Substitute Vodka instead of the Scotch + Drop the Amaretto to 0.5oz = Godmother cocktail (which is ,Scotch,
,0.75oz Amaretto,,#NAME?,,,"gross, but you might get asked for it)",Spirit forward,
,1 dash of Angostura bitters,,#NAME?,,,,Baking spices,
,,,,,,,Sweet,
,,,,,,,,
Gold Rush,2oz Bourbon,Shaken,#NAME?,Rocks glass,Fresh lemon wheel,Substitute Apple Brandy instead of Bourbon = Golden Delicious. ,Bourbon,
,1oz Lemon juice,,#NAME?,,,,Tart,
,0.75oz Honey syrup,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Gordon's Cup,2oz Gin (London Dry),Soft Shaken / Dump,#NAME?,Rocks glass,No Garnish,"When making this cocktail, pay attention to the same details as you would for a Caipirinha.",Gin,
,4-5 Lime Wedges,,#NAME?,,,,Tart,
,5 slices of cucumber,,#NAME?,,,,Herbaceous,
,0.75oz Simple syrup,,#NAME?,,,,Savory,
,6 drops of Saline Solution,,#NAME?,,,,,
,2 twists of Black Pepper (from a Grinder),,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Grasshopper,1oz Creme de Menthe,Shaken / Swizzled,#NAME?,Rocks glass,Grated nutmeg,The saline and crushed ice help balance out the sweetness. I get a craving for these about ,Liqueur,
,1oz Creme de Cacao ,,#NAME?,,Mint Bouquet,"once a year, and man, do they hit the spot. ",Low ABV,
,1oz Half-n-half,,#NAME?,,,,Baking spices,
,2 drops Saline solution,,#NAME?,,,,Sweet,
,,,#NAME?,,,,Creamy,
,,,#NAME?,,,,,
,,,,,,,,
Green Cross Swizzle,1oz Green Chartreuse,Swizzled,#NAME?,Hurricane or Collins,Top with Angostura bitters,"One of my personal favorite tiki cocktails, and my go-to when a guest wants something",Rum / Chartreuse,
,1oz Smith and Cross Jamaican Rum,,#NAME?,,Mint Bouquet,strong where they can't taste the alcohol.,High ABV,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,1oz Pineapple juice,,#NAME?,,,,Herbaceous,
,0.5oz Falernum,,#NAME?,,,,Baking spices,
,Top with Angostura bitters,,#NAME?,,,,,
,,,,,,,,
Green Garden,2oz Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,I also stole this one from Chris Day and fucked around with it because I'm a very bad man.,Gin,
,0.5oz Dry Vermouth,,#NAME?,,,,Spirit forward,
,0.5oz St. Germain Elderflower liqueur,,#NAME?,,,,Floral,
,4 dashes of Celery bitters,,#NAME?,,,,Savory,
,,,,,,,,
Greenpoint,2oz Rye ,Stirred,#NAME?,Nick and Nora,Lemon twist,This Manhattan riff was named after a burrow in NYC (which was a really trendy thing for a while).,Rye,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,High ABV,
,0.5oz Yellow Chartreuse,,#NAME?,,,,Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
Hanky Panky,2oz Gin,Stirred,#NAME?,Nick and Nora,Orange twist,,Gin,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,0.25oz Fernet Branca,,#NAME?,,,,Herbaceous,
,1 dash of Orange bitters,,#NAME?,,,,,
,,,,,,,,
The Holy Berry,1.5oz Red Wine,Shaken / Swizzled,#NAME?,Rocks glass,Lime wheel,,Red wine / Rum,
,0.5oz Unaged Rhum Agricole,,- Add 3 blackberries,,3 blackberries on a pick,,Tart,
,0.75oz Lime juice,,#NAME?,,,,Fruit forward,
,0.5oz Yellow Chartreuse,,#NAME?,,,,Herbaceous,
,0.5oz Simple syrup,,#NAME?,,,,,
,6 Blackberries,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Home on the Range,2oz Bourbon,Stirred,#NAME?,Rocks glass,Cherry,,Bourbon,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,High ABV,
,0.5oz Dry Curacao,,#NAME?,,,,Spirit forward,
,2 dashes of Angostura bitters,,,,,,,
,,,,,,,,
Hot Toddy,"2oz Whiskey (ask, but Bourbon is the default)",Stirred / Built,#NAME?,Toddy glass,Orange twist - discard,"The original published Hot Toddy only called for gin, hot water, and nutmeg, making it - and this is true - ",Bourbon,
(Old Fashioned Style),0.5oz Rich Demerara syrup,,#NAME?,,Lemon twist - discard,objectively disgusting. ,Spirit forward,
,3 dashes of Angostura bitters,,#NAME?,,Grated nutmeg,"Also, I find that everyone who orders this cocktail falls into one of two categories: ",Baking spices,
,Hot Water (to preheat and to fill),,#NAME?,,,"they either want an Old-fashioned + hot water, or they want a Penicillin-riff + hot water, and both groups",Sweet,
,,,#NAME?,,, think that their version is the only proper way to make a Hot Toddy. So ask. ,,
,,,#NAME?,,,"And btw, if someone orders it as a ""Hotty Toddy"" it is definitely their first time in a bar. ",,
,,,,,,,,
Hot Toddy,"2oz Whiskey (ask, but Bourbon is the default)",Stirred / Built,#NAME?,Toddy glass,Orange twist - discard,,Bourbon,
(Penicillin Style),0.75oz Lemon juice,,#NAME?,,Lemon twist - discard,,Tart,
,0.5oz Honey syrup,,#NAME?,,Grated nutmeg,,Spicy,
,0.5oz Ginger syrup,,#NAME?,,,,Baking spices,
,2 dashes of Angostura bitters,,#NAME?,,,,,
,Hot Water (to preheat and to fill),,#NAME?,,,,,
,,,,,,,,
Hotel Nacional,2oz Apricot-infused Unaged Rum,Shaken,#NAME?,Coupe,Dehydrated lime wheel,"It always bothered me that the original specs for this classic cocktail called for apricot brandy and yet, ",Rum,
(Improved),1oz Pineapple juice,,#NAME?,,,the cocktail never tasted anything like apricots. I've had some modern renditions that call for apricot ,Tart,
,0.5oz Lime juice,,#NAME?,,,liqueur instead - but I've never found an apricot liqueur that tasted like the fruit itself. They're always too,Fruit forward,
,0.25oz Rich apricot syrup ,,#NAME?,,,"medicinal, or too almondy. So after several rounds of R&D, I created a version that actually has a ",Herbaceous,
,2 drops of Saline solution,,#NAME?,,,"noticeable apricot flavor. Plus, you know, Chartreuse. ",,
,3 sprays of Green Chartreuse,,,,,,,
,,,,,,,,
Iceberg,1oz Absinthe,Swizzled,#NAME?,Rocks glass,Grated lime zest,"My personal favorite refreshing Absinthe cocktail, this beauty was created at the Absinthe Brasserie and",Absinthe / Chartreuse,
,1oz Yellow Chartreuse,,#NAME?,,,Bar in SF. ,High ABV,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.25 Simple syrup,,#NAME?,,,,Herbaceous,
,,,,,,,,
Infante ,2oz Blanco Tequila,Swizzled,#NAME?,Rocks glass,Spritz of Orange flower water,"Invented by Giuseppe Gonzalez at Dutch Kills in Queens, NY",Tequila,
,0.75oz Lime juice,,#NAME?,,Grated nutmeg,Reposado Tequila instead of Blanco Tequila + Rosewater instead of Orange flower water = Casper,Tart,
,0.75oz Orgeat ,,#NAME?,,,(which I actually prefer).,Floral,
,,,#NAME?,,,,Baking spices,
,,,,,,,,
Irish Coffee,1.5oz Irish whiskey,Built / Shaken,#NAME?,Toddy glass,Mint leaf,"Like a Hot Toddy, this cocktail has relatively simple ingredients, but it requires precise and careful  ",Irish Whiskey,
,0.33oz Rich Demerara syrup,,- Build in mixing glass (except cream & simple syrup),,,technique in order to be made well. Here are some tips:,Baking spices,
,4oz Hot coffee,,#NAME?,,,#NAME?,Sweet,
,2 dashes of Chocolate bitters,,#NAME?,,,#NAME?,Creamy,
,,,#NAME?,,,#NAME?,,
, ⬇ For Whipped Cream Float ⬇,,#NAME?,,,,,
,3 oz heavy cream,,#NAME?,,,Many people attribute this cocktail to the SF Buena Vista club (even some high-and-fancy-to-do,,
,0.25oz Simple syrup,,#NAME?,,,"bartenders), but while they certainly popularized the drink, it was actually invented in 1943 by Joe",,
,1 barspoon of Creme de Menthe,,#NAME?,,,"Sheridan, the chef at the airport cafe at Foynes Port on the west coast of Ireland. I did - of course -",,
,,,#NAME?,,,play with the recipe a bit.,,
,,,,,,,,
Jack Rose,2 oz Apple Brandy,Shaken,#NAME?,Coupe,Lime Wedge,,Apple Brandy,
,0.75oz Lime,,#NAME?,,,,Tart,
,0.75oz Grenadine,,#NAME?,,,,Fruit forward,
,,,#NAME?,,,,,
,,,,,,,,
Jane's Addiction,1.5oz Vodka,Shaken,#NAME?,Collins,Orange wedge and cherry on a pick,"This is a sleeper of a vodka cocktail. It's pretty solid. Yes, it's named after the band. ",Vodka,
,0.75oz Fino sherry,,#NAME?,,,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Bubbly,
,0.75oz Simple syrup,,#NAME?,,,,Fruit forward,
,6 dashes of Angostura bitters,,#NAME?,,,,Baking spices,
,1 Orange wedge (~1/8 of a whole orange),,#NAME?,,,,,
,Fill with Club soda,,#NAME?,,,,,
,,,,,,,,
Jet Pilot,1oz Aged Jamaican Rum,Swizzled,#NAME?,Hurricane or Collins,Grapefruit twist,Cutting the Rums in half and subsituting an equal amount of Mezcal is a killer riff on this. ,Rum,
,1oz Aged Rum,,#NAME?,,,,High ABV,
,0.5oz Falernum,,#NAME?,,,Substitute grenadine instead of the cinnamon syrup + Angostura shaken with cocktail instead of on top +,Tart,
,0.75oz Lime juice,,#NAME?,,,"Mint sprig garnish = Zombie cocktail (not exactly, but close enough)",Herbaceous,
,0.75oz Grapefruit juice,,#NAME?,,,,Baking spices,
,0.5oz Cinnamon syrup,,#NAME?,,,,,
,1 Spray of Absinthe,,,,,,,
,Top with Angostura bitters,,,,,,,
,,,,,,,,
Jungle Bird,1.5oz Aged rum,Swizzled,#NAME?,Hurricane or Collins,Lime wheel and mint bouquet on a pick.,The original version of this cocktail calls for Blackstrap rum. I think that's gross. Sue me. ,Rum,
,0.75oz Campari,,#NAME?,,Pineapple wedge (if you have one),,Tart,
,0.5oz Lime juice,,#NAME?,,,,Fruit forward,
,2oz Pineapple juice,,#NAME?,,,,Bitter,
,1 barspoon Simple syrup,,,,,,,
,,,,,,,,
Kill Devil,2oz Unaged Rhum Agricole,Stirred,#NAME?,Nick and Nora,"Hollowed out lime disk, filled with ","Named after an old term for some of the earliest (and harshest) forms of sugar cane spirits, this drink was",Rum,
,0.5oz Green Chartreuse,,#NAME?,,"overproof rum, floated and lit on fire",created by Erin Williams. ,High ABV,
,1 barspoon of Rich Demerara syrup,,#NAME?,,,,Spirit forward,
,4 dashes of Angostura bitters,,#NAME?,,,,Herbaceous,
,,,,,,,,
La Floridita Daiquiri,1.5oz Unaged Rhum Agricole,Shaken,#NAME?,Coupe,Cherry,"People like to say that this drink was created for Hemingway with ""no added sugar"" because",Rum,
aka,0.5oz Lime juice,,#NAME?,,,"apparently, he was a diabetic (I have no idea if that's true), but let's not kid ourselves, your",Tart,
Hemingway Daiquiri,1oz Grapefruit juice syrup,,#NAME?,,,body processes the sugar in grapefruit juice and Maraschino liqueur in the same way as it does,Fruit forward,
,0.75oz Maraschino,,#NAME?,,,for syrups. ,,
,,,,,,,,
The Laphroaig Project,1oz Green Chartreuse,Shaken,#NAME?,Coupe,Lemon twist,"Created by Owen Westman for Bourbon and Branch, this is one of those weird cocktails that isn't based  ",Scotch / Liqueurs,
,0.5oz Yellow Chartreuse,,#NAME?,,,"on any established cocktail-family formula. It seems like it shouldn't work, and yet somehow, it does. ",High ABV,
,0.5oz Laphroaig Scotch,,#NAME?,,,"This is not even considered a classic or a modern classic, I just like it because its strange and tasty.",Tart,
,0.5oz Maraschino,,#NAME?,,,,Herbaceous,
,2 dashes of Peach bitters,,,,,,Smokey,
,,,,,,,,
La Rosita,1.5oz Reposado Tequila,Stirred,#NAME?,Nick and Nora,Lemon twist,,Tequila,
,0.5oz Campari,,#NAME?,,,,Spirit forward,
,0.5oz Dry Vermouth,,#NAME?,,,,Bitter,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,,
,,,,,,,,
Last Word,1oz Gin,Shaken,#NAME?,Coupe,Cherry,Rye instead of gin + lemon juice instead of lime juice = The Final Ward ,Gin,
,0.75oz Lime juice,,#NAME?,,,which was created by Phil Ward of the OG Death and Co.,Tart,
,0.75oz Green Chartreuse,,#NAME?,,,,Herbaceous,
,0.75oz Maraschino ,,#NAME?,,,,,
,,,,,,,,
La Viña,1.5oz Rye,Stirred,#NAME?,Nick and Nora,Orange twist,"The original version was created by Alex Day of Death and Co., and I adapted it because, well, I'm me.",Rye,
,1oz Gran Classico,,#NAME?,,,,Spirit forward,
,0.5oz PX sherry,,#NAME?,,,,Fruit forward,
,,,#NAME?,,,,Bitter,
,,,,,,,,
Lemon Drop,1.5oz Vodka,Shaken,#NAME?,Coupe,Optional half-sugar rim (ask),It's just a Vodka Sidecar.,Vodka,
,1oz Cointreau,,#NAME?,,Lemon wedge,,High ABV,
,0.5oz Lemon juice,,#NAME?,,,,Tart,
,1 barspoon of Simple syrup,,#NAME?,,,,Sweet,
,,,,,,,,
Little Italy,2oz Rye,Stirred,#NAME?,Nick and Nora,Lemon twist,Invented by Audrey Saunders of the Pegu Club,Rye,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,0.5oz Cynar,,#NAME?,,,"Substitute Reposado tequila instead of Rye +  Chocolate bitters instead of Orange bitters = Little Mexico, ",Herbaceous,
,2 dashes of Orange bitters,,#NAME?,,,by Kiowa Bryan,Bitter,
,,,,,,,,
Lion's Tail,2oz Bourbon,Shaken,#NAME?,Coupe,Lime wheel on a pick,,Bourbon,
,0.5oz Lime juice,,#NAME?,,,,Tart,
,0.5oz Simple syrup,,#NAME?,,,,Baking spices,
,0.5oz Allspice Dram,,#NAME?,,,,,
,2 dashes of Angostura bitters,,,,,,,
,,,,,,,,
Long Island Iced Tea,0.75oz Vodka,Built,- Fill glass 2/3 full of kold draft ice,Collins,Lemon wedge,Go ahead and just free-pour this one. ,Vodka/Gin/Rum/Tequila,
,0.75oz Gin,,#NAME?,,,,High ABV,
,0.75oz Unaged Rum,,#NAME?,,,,Tart,
,0.75oz Blanco Tequila,,,,,,Bubbly,
,0.75oz Cointreau,,,,,,Sweet,
,0.75oz Lemon juice,,,,,,,
,0.5oz Simple syrup,,,,,,,
,Top with Coke ,,,,,,,
,,,,,,,,
Los Angeles Cocktail,2oz Scotch,2 Cube Shaken,#NAME?,Coupe,Float a lemon wheel soaked in ,"Oddly enough, the one classic cocktail named after LA is a flip variation that doesn't seem to fit the city",Scotch,
,0.5oz Sweet Vermouth (Cinzano 1757 di Torino),,- Add 2 kold draft cubes ,,Angostura bitters. ,at all. ...probably just another transplant.,Tart,
,0.5oz Lemon juice,,#NAME?,,,,Creamy,
,0.5oz Simple Syrup,,#NAME?,,,,,
,1 whole egg ,,,,,,,
,Angostura bitters (for garnish),,,,,,,
,,,,,,,,
M-91,2oz Gin,Stirred,#NAME?,Nick and Nora,Orange twist - discard,Invented by Ricky Yarnall of (Bar | Kitchen) ,Gin,
,1oz Cocchi Americano,,#NAME?,,Lemon twist,,Spirit forward,
,2 dashes of Orange bitters,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Mai Tai,0.75oz Aged Rhum Agricole,Swizzled,#NAME?,Rocks glass,Orange wheel,"Victor J. Bergeron (aka Trader Vic) claims to have invented the Mai Tai, although Donn Beach (aka Don ",Rum,
,0.75oz Aged Jamaican Rum,,#NAME?,,Mint bouquet,the Beachcomber) insisted that it was based off of his earlier cocktail called the Q.B. Cooler. For various ,Tart,
,0.75oz Lime Juice,,#NAME?,,,"reasons, the Mai Tai's recipe was changed by Trader Vic over the years, with the unfortunate result being",Herbaceous,
,0.75oz Dry Curacao,,#NAME?,,,"the cloying, rum-juice-and-syrup combinations that many people think of when they picture a Mai Tai.",Floral,
,0.75oz Orgeat ,,#NAME?,,,"My version isn't exactly the original, but it's way closer than a lof of the garbage that folks called a ""Mai",,
,2 sprays of Absinthe,,,,,"Tai"" in the 70s and 80s. ",,
,,,,,,,,
Manhattan,"2oz Rye (This is our default, but ask)",Stirred,#NAME?,Nick and Nora,Cherry,Scotch instead of rye = Rob Roy.,Rye,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,2 dashes of Angostura bitters,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Margarita,2oz Blanco Tequila,Shaken,#NAME?,Rocks glass,"Half-salt rim (this is our default, but ask)","I don't use agave in my cocktails anymore, since it's 90% fructose (way higher than HFCS) ",Tequila,
,0.75oz Lime juice,,#NAME?,,Lime wheel,and really hard on your liver. It's purported health benefits were just clever marketing. ,High ABV,
,0.5oz Cointreau,,#NAME?,,,,Tart,
,0.25oz Simple syrup,,#NAME?,,,,,
,,,,,,,,
Martinez,2oz Barrel-aged Gin,Stirred,#NAME?,Nick and Nora,Lemon twist,,Gin,
,1oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
,Barspoon Maraschino,,#NAME?,,,,,
,1 dash of Orange bitters,,#NAME?,,,,,
,1 dash of Angostura bitters,,,,,,,
,,,,,,,,
Martini,2.5oz Gin or Vodka (ask),Stirred,#NAME?,Nick and Nora,Lemon twist OR Olive (ask),"Other people may have their own opinions about how to make this cocktail, but I'm right: ",Gin or Vodka,
,0.5oz Dry Vermouth (default),,#NAME?,,"Always Olive for a ""Dirty Martini""","- ""Dry"" = 0.25oz dry vermouth",High ABV,
,,,#NAME?,,,"- ""Extra Dry"" = zero vermouth + 0.25oz extra gin or vodka",Spirit forward,
,,,#NAME?,,,#VALUE!,,
,,,,,,"- ""Extra Dirty"" = Substitue 0.75oz olive brine in place of dry vermouth",,
,,,,,,"- ""50/50 Martini"" = 1.5oz gin + 1.5oz dry vermouth + 2 dashes of orange bitters + lemon twist",,
,,,,,,,,
Mexican Firing Squad,2oz Blanco Tequila,Shaken,#NAME?,Rocks glass,Lime wheel and cherry on a pick,,Tequila,
,1oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Grenadine,,#NAME?,,,,Fruit forward,
,3 dashes of Angostura bitters,,#NAME?,,,,,
,,,,,,,,
Mia Farrow,1.5oz Gin,Shaken,#NAME?,Coupe,Rosemary sprig,"The original called for rosemary syrup, but this version assumes you don't have that on hand. ",Gin,
,0.75oz Campari,,- Add 1 rosemary sprig - muddle,,,"If you reduce the lemon juice to 0.5oz, add 1oz of grapefruit juice, and serve it on the rocks, ",Tart,
,0.75oz Lemon,,#NAME?,,,you get the Rosemary's Baby cocktail.,Herbaceous,
,0.75oz Simple syrup,,#NAME?,,,,Bitter,
,2 Sprigs of Rosemary ,,#NAME?,,,,,
,,,#NAME?,,,,,
,,,,,,,,
Mixed Blessings,1oz Pisco,Shaken,#NAME?,Rocks glass,Fresh lemon wheel,Created by Duggan MacDonnell at Cantina in San Francisco,Tequila / Pisco,
,1oz Blanco Tequila,,#NAME?,,Grated nutmeg,,Tart,
,0.75oz Lemon juice,,#NAME?,,,,Floral,
,0.5oz Giffard Pamplemousse,,#NAME?,,,,Baking spices,
,0.5oz Honey syrup,,,,,,,
,,,,,,,,
Mojito,2oz Unaged Rum,Built,#NAME?,Collins,Mint bouquet,,Rum ,
,0.75oz Lime juice,,#NAME?,,,,Tart,
,0.75oz Simple syrup,,#NAME?,,,,Bubbly,
,Large handful of Mint Leaves,,#NAME?,,,,,
,Fill with Club Soda,,#NAME?,,,,,
,,,,,,,,
Monte Carlo,2oz Rye,Built / Stirred,#NAME?,Rocks glass ,Lemon twist,,Rye,
,0.5oz Benedictine,,#NAME?,,,,High ABV,
,2 dashes of Angostura bitters,,#NAME?,,,,Spirit forward,
,,,,,,,Baking spices,
,,,,,,,,
Mother Superior,1.25oz Aged Jamaican Rum,Stirred,#NAME?,Nick and Nora,Flamed orange peel,Created by Chris Day at Bar | Kitchen,Rum,
,0.75oz Sweet Vermouth (Cinzano 1757 di Torino),,#NAME?,,,,Spirit forward,
